all_authors,year_published,title,publisher,volume,document_link,date_uploaded,abstract,keywords,pdf_path,cleaned,start,end
"Grimshaw, T.",2016,Integrated Policymaking for Realizing Benefits and Mitigating Impacts of LENR,J. Condensed Matter Nucl. Sci.,19,http://lenr-canr.org/acrobat/BiberianJPjcondensedr.pdf#page=96,2016-12-19,"The potential benefits of LENR as a source of energy have been well understood since its announcement in 1989. The improved prospects of LENR in the past few years are indicated by the significant numbers and varied locations of researchers in several countries, a large body of accumulated evidence, major advances in explanation and theory development, and recent favourable occurrences, including a plethora of proposed energy-producing devices. The changing landscape creates policymaking opportunities for supporting LENR to realize its potential benefits, planning proactively to deal with anticipated adverse secondary impacts, and integrating the updates in a comprehensive policy program. The first policymaking opportunity, updates of current policies for LENR support, may best be accomplished in a framework of evidence-based policymaking. The level of evidence for the existence of LENR is at least a preponderance of evidence (greater than 50% probability). There may even be clear and convincing evidence (greater than 70%). Correspondingly, the policy response should be at least reinstatement and research comparable to other emerging energy technologies. Enhanced support, perhaps on a par with hot fusion, is indicated if there is clear and convincing evidence. The second policymaking opportunity related to LENR?s changing landscape is to address potential adverse secondary impacts with proactive planning. Broad deployment of LENR for energy supply may be expected to have major secondary impacts as a disruptive technology. Direct impacts will take place on all phases of the energy chain ? supply, transport, storage, and consumption. Indirect impacts will be felt most by the components of society that are closely tied to the energy cycle, such as sectors of the workforce and energy-based communities. Technology assessment is a mature and readily available methodology for identifying secondary impacts and developing mitigative measures. A third policymaking opportunity is to integrate LENR policy updates that are needed as demonstrated by its changing landscape. Policies for mitigating adverse secondary impacts, for example, can be formulated based on policies for LENR support and the resulting pace of its development and deployment. New and updated policies may also be integrated at the national and international level and between the public and private sectors. The public interest will be served by update and integration of LENR policies for its development and mitigating its impacts. However, many challenges must be overcome to achieve the update and integration objectives. The world desperately needs new sources of clean and inexpensive energy. The case of cold fusion would perhaps be a curiosity in the history of science if the stakes were not so high.",,1523_BiberianJPjcondensedr.pdf,,96.0,105.0
"Grimshaw, T.",2017,Policy Interests Interests of U.S. Government Agencies in  Emerging Energy Technologies - Review for Potential Cold Fusion Contributions,University of Texas at Austin,,http://lenr-canr.org/acrobat/GrimshawTpolicyinte.pdf,2018-05-08,"Many agencies of the U.S. Government have energy policy responsibilities. These responsibilities include both development and realization of emerging energy technologies and dealing with their secondary impacts. A paper has been prepared to describe the potential role that cold fusion may play in helping agencies accomplish their missions in realizing the benefits of new energy sources and mitigating their secondary impacts.This White Paper serves as an underpinning of the above paper by identifying the most significant energy policymaking agencies of the U.S. Government, describing their overall missions and responsibilities, and delineating their interests specifically in emerging energy technologies. The stage is then set for assessing the potential role of cold fusion. A rigorous attempt is made to characterize the energy interests of the agencies ""in their own words"" by extensive review of publicly-available information (primarily websites) made available by the agencies themselves.","LENR public policy, technology assessment for LENR impacts",1524_GrimshawTpolicyinte.pdf,,,
"Grimshaw, T.",2020,Documenting Cold Fusion Research: Preserving a Vital Asset for Humankind,Infinite Energy,,http://lenr-canr.org/acrobat/GrimshawTdocumentin.pdf,2022-11-02,"Cold fusion (low energy nuclear reaction, LENR) was rejected by mainstream science within a year or so of its announcement in 1989. Despite the rejection, LENR continued to be investigated by many researchers worldwide. The LENR Research Documentation Initiative (LRDI) is underway to mitigate the loss of records of investigators who began their work shortly after the announcement and are now leaving the field. The LRDI began with a pilot project with Edmund Storms and now includes 15 participants. Projects typically include publications, unpublished reports, electronic and hardcopy files, lab descriptions and notebooks, publications by others (LENR library), and photos, recordings and other media. The records found in an LRDI project are supplemented with one or more rounds of recorded and transcribed interviews. Where possible, timelines of LENR research are prepared. Each project is documented with memos for each component followed by a report of the investigator?s research contributions. Preservation of these records for additional review and analysis as progress is made in the field may contribute to the realization of LENR and its energy benefits. The long-term prospects of humankind will be improved greatly with new sources of abundant, inexpensive and clean energy like LENR.","history, preservation, LRDI, LENR Research Documentation Initiative",1525_GrimshawTdocumentin.pdf,,,
"Grimshaw, T.",2020,Cold Fusion Public Policies: Realizing Benefits and Mitigating Disruptive Impacts,J. Condensed Matter Nucl. Sci.,32,http://lenr-canr.org/acrobat/BiberianJPjcondensedze.pdf#page=20,2020-05-08,"Cold fusion (now widely referred to as low energy nuclear reactions, LENR) has many potential energy benefits for society, but it also has risks of major disruption. Despite being rejected soon after its announcement 30 years ago, LENR has continued to be pursued by researchers worldwide. The continued vitality of the field, and substantial progress in understanding and reproducibility of the phenomenon, have challenged the initial verdict on LENR as non-legitimate science. LENR realization for the benefit of society will be enhanced by the forces of the free market. But government policy changes are needed to realize LENR benefits and deal with its anticipated disruptive impacts. Evidence-based policy making is a rational way to revisit negative policies for research support. Technology assessment is a candidate method for identifying and mitigating LENR?s adverse secondary effects. Government agencies and the private sector have the opportunity with LENR to accomplish their missions. As a potential new source of abundant, low-cost, and clean energy, LENR has the possibility of substantially improving the long-term prospects of humankind.","Cold fusion policy, Disruptive technology, Evidence-based policymaking, LENR policy, Rational public policies,, Technology assessment",1526_BiberianJPjcondensedze.pdf,,20.0,30.0
"Grimshaw, T.",2021,Cold Fusion Archives at the University of Utah,"LENRGY, LLC.",,http://lenr-canr.org/acrobat/GrimshawTcoldfusionc.pdf,2022-11-02,"Cold fusion originated at the University of Utah, when Fleischmann and Pons announced it at a press conference on March 23, 1989. A project is being performed to document the cold fusion files that are still available at the University. It is being undertaken in the LENR Research Documentation Initiative (LRDI), whose overall objective is to capture cold fusion research records while they are still available. The LRDI is a program at the firm LENRGY, LLC.The project began with careful review of the website of the University?s Marriott Library, along with download of relevant materials. A trip was made in August 2021 to review the University holdings. Substantial cold fusion records were found for several organizations and individuals. They comprise more than 530 boxes of materials. Records of the work of Fleischmann and Pons, such as lab notebooks or other information on experiments, were not found for this project.","history, preservation, LRDI, LENR Research Documentation Initiative, Universiity of Utah",1527_GrimshawTcoldfusionc.pdf,,,
"Grimshaw, T.",2022,"LENR Research Documentation, What Have We Learned So Far?",ICCF24 Solid-state Energy Summit,,http://lenr-canr.org/acrobat/GrimshawTlenrresear.pdf,2022-11-02,"LENR Research Documentation Initiative? Origin: Storms Pilot Project? Host: LENRGY, LLC? Preceded by?? LENR public policy analysis? Assistance to interested parties (e.g., National Instruments)","history, preservation, LRDI, LENR Research Documentation Initiative",1528_GrimshawTlenrresear.pdf,,,
"Grimshaw, T.",2022,Dr. Mahadeva Srinivasan: Research Pioneer in the LENR Field,J. Condensed Matter Nucl. Sci.,35,http://lenr-canr.org/acrobat/BiberianJPjcondensedzh.pdf#page=27,2022-03-10,"Dr. Mahadeva Srinivasan was one of the earliest and most productive researchers in the LENR field. He took an immediate interest in the phenomenon and began research within a day or two after the March 23, 1989 announcement ? at a time when he already had more than 30 years of nuclear research experience at India?s Bhabba Atomic Research Center (BARC). He conducted many LENR investigations using several methods, with emphasis on neutron emission and tritium generation as signatures of the effect.After he retired from BARC in 1997, he became very active in the field after a 10-year ""silent period"". Hismain emphasis after 2008 was on promoting LENR research in India. Because of his stature in the nuclear field in India, Dr. Srinivasan was able through his connections and friendships to arrange for LENR research programs and funding at several organizations. He chaired the 16th International Conference on Cold Fusion (ICCF-16) in Chennai in 2011. . . .","M. Srinivasan, LENR Research, BARC, LENR in India",1529_BiberianJPjcondensedzh.pdf,,27.0,35.0
"Grimshaw, T.",2022,Mitigating the Loss of Irreplaceable LENR Research Records,J. Condensed Matter Nucl. Sci.,36,http://lenr-canr.org/acrobat/BiberianJPjcondensedzi.pdf#page=35,2022-11-14,"An initiative is underway to document the records of cold fusion researchers while the information is still available. Now more than 30 years after the 1989 LENR announcement, many of these investigators are leaving the field. Projects under the LENR Research Documentation Initiative (LRDI) generally begin with a site visit where information is collected and interviews are conducted. Provision is made for securing the records, and a project report is prepared. More than 20 projects including over 25 participants and collaborators have been performed or are underway. The LRDI includes a major outreach effort to ensure participation and promote the overall standing of cold fusion. Future plans for the initiative call for additional participants and more in-depth coverage of research documented in previous projects. An integrated LRDI report including summaries of the individual projects is being prepared. Documentation of the large body of LENR research is essential both for the field and for humankind generally. Capturing the records enhances the prospects of the field by demonstrating the large amount of the information and the credibility of the researchers. The future of humanity depends on developing an inexhaustible supply of clean and inexpensive energy. LENR is one of the best candidates currently available to meet this need.","LENR Research, Research Documentation, Cold Fusion Records",1530_BiberianJPjcondensedzi.pdf,,35.0,39.0
"Groenlund, F.",1992,Electrolysis in calorimetry,J. Thermal Anal.,38,,,,"critique, review, Fleischmann",,,,
"Grotz, T.",1996,Investigation of reports of the synthesis of iron via arc discharge through carbon compounds,J. New Energy,1,,,,"transmutation, carbon, arc, critique",,,,
"Gruber, J.",1996,"""Cold Fusion"" and space energy technology",,,,,,"review, CETI",,,,
"Gryaznov, V. M., Ermilova, M. M., Morozova, L. S., Orekhova, N. V., Polyakova, V. P., Roshan, N. R., Savitsky, E. M., Parfenova, N. I.",1983,Palladium Alloys as Hydrogen Permeable Catalysts in Hydrogenation and Dehydrogenation Reactions,J. Less-Common Met.,89,,,,"Pd-Re, H, Pd-Ni",,,,
"Gryzinski, M.",1989,Low-temperature fusion of light nuclei in the Fleischmann-Pons reaction,Inz. Aparat. Chem.,28,,,,"Commentary, history",,,,
"Gryzinski, M.",1989,Cold fusion: what's going on?,Nature (London),338,,,,"theory, tunnelling",,,,
"Gryzinski, M.",1990,Theory of Electron Catalyzed Fusion in Pd Lattice,"Anomalous Nuclear Effects in Deuterium/Solid Systems, ""AIP Conference Proceedings 228""",1,,,,theory,,,,
"Gu, A. G., Teng, R. K. F., Miller, M. S., Sprouse, W. J.",1989,Preliminary experimental study on cold fusion using deuterium gas and deuterium plasma in the presence of palladium,Fusion Technol.,16,,,,"D2, Pd, ion bombardment, neutron",,,,
"Gu, A. G., Teng, R. K. F., Miller, M. S., Sprouse, J.",1990,Experimental study on cold fusion using deuterium gas and deuterium ion beam with palladium,J. Fusion Energy,9,,,,"Pd, D2, high pressure, ion bombardment, neutron",,,,
"Guffey, M. J., Tang, Y., King, P. J.",2016,Attempted Replication of Excess Heat in the Letts Dual-laser Experiment,J. Condensed Matter Nucl. Sci.,20,http://lenr-canr.org/acrobat/BiberianJPjcondenseds.pdf#page=6,2016-10-19,"By attempting a nearly exact replication of prior published work, we test the claim that release of non-chemical excess heat from loaded palladium deuteride (PdD) can be triggered by the application of two laser beams with wavelengths selected at specific difference frequencies around 8, 15 and 20 THz. No significant excess heat events were observed in 231 laser triggered trials across 9 cathode runs. The average excess heat rate observed from all runs was 6.1  21.6 mW with 10 W of input electrical power. We found no evidence of excess heat on the order of 100 mW reported by Letts. Calorimetry artifacts stemming from apparatus design issues often exceeded 100 mW and contributed to larger-than-desired uncertainties on individual excess heat measurements.","Dual-laser experiment, Phonon, THz, Triggering",1540_BiberianJPjcondenseds.pdf,,6.0,33.0
"Guggeler, H. W., Jost, D. T., T'rler, A., Armbruster, P., Br'chle, W., Folger, H., Hebberher, F. P., Hofmann, S.",1989,Cold Fusion Reactions with 48Ca,Nucl. Phys. A,502,,,,"fusion, Ca, ion bombardment",,,,
"Guilinger, T. R., Kelly, M. J., Scully, J. R., Christensen, T. M., Ingersoll, D., Knapp, J. A., Ewing, R. I., Casey, W. H., Tsao, S. S.",1990,"Investigation of Fusion Reactions in Palladium and Titanium Tritide Using Galvanostatic, Coulometric, and Hydrogen Permeation Techniques",J. Fusion Energy,9,,,,"Pd, Ti, tritium, D2O, neutron",,,,
"Guinan, M. W., Chaplin, G. F., Moir, R. W.",1989,Catalysis of Deuterium Fusion in Metal Hydrides by Cosmic Ray Muons,Los Alamos,,,,,"muon, D, Ti, Pd, D2O, theory,",,,,
"Gulko, A. G.",2001,The Mechanism of Cold Fusion,Infinite Energy,7,,,,theory fractional hydrogen fission,,,,
"Gupta, M., Burger, J. P.",1980,The electronic structure and its relationship to superconductivity in NiH,J. Phys. F: Met. Phys.,10,,,,"NiH, theory, superconductivity",,,,
"Gupta, S. D., Jacobs, J. K.",1991,Process and apparatus for generating high density hydrogen in a matrix,"US patent # 4,986,887",,,,,"loading, Pd, electrolysis, patent,",,,,
"Gur, T. M., Schreiber, M., Lucier, G., Ferrante, J. A., Chao, J., Huggins, R. A.",1990,Experimental Considerations in Electrochemical Isoperibolic Calorimetry,The First Annual Conference on Cold Fusion,1,http://lenr-canr.org/acrobat/NCFIthefirstan.pdf#page=101,2018-11-26,"A novel concentric cylinder isoperibolic calorimeter was designed and fully characterized. Several different methods of introducing calibration power to the calorimeter were studied and the calibration constant was found to be independent of the method. Calibration constants could be determined with a precision to + 0.5 %. Furthermore, they were independent of the input power level up to 22 W and with a cell temperature up to 60 0C over appreciable periods of time. This new design possesses many advantages that makes it suitable for careful studies of the thermal behavior of electrochemical systems, such as the electrochemical insertion of deuterium into Pd cathodes.","heat, method, apparatus, ICCF-1",1547_NCFIthefirstan.pdf,,101.0,109.0
"Gur, T. M., Schreiber, M., Lucier, G., Ferrante, J. A., Huggins, R. A.",1990,Experimental Considerations Involved in the Generation of Excess Power as a Result of the Electrochemical Insertion of Hydrogen and Deuterium in Palladium,8th World Hydrogen Energy Conf.,1,,,,"heat+, apparatus, method",,,,
"Gur, T. M., Schreiber, M., Lucier, G., Ferrante, J. A., Chao, J., Huggins, R. A.",1994,An isoperibolic calorimeter to study electrochemical insertion of deuterium into palladium,Fusion Technol.,25,,,,"heat, method",,,,
"Gurrath, M., Kuretzky, T., Boehm, H. P., Okhopkova, L. B., Lisitsyn, A. S., Likholobov, V. A.",2000,"Palladium Catalysts on Activated Carbon Supports, Influence of Reduction Temperature, Origin of the Support and Pretreatments of the Carbon Surface",Carbon,38,,,,"carbon,, Case,, caralyst",,,,
"Guruswamy, S., Wadsworth, M. E.",1990,Metallurgical Aspects in Cold Fusion Experiments,The First Annual Conference on Cold Fusion,1,http://lenr-canr.org/acrobat/GuruswamySmetallurgi.pdf,2005-11-22,"Deuterium loading of palladium cathodes in Pons-Fleischmann type electrolytic cells has been observed to result in generation of excess heat on several occasions. Metallurgical examination of some of the electrodes showed extensive damage associated with deuterium loading. Surfaces have been found to be covered with large number of impurities. Initiation and sustaining these heat bursts, monitoring of nuclear products and materials aspects of these electrolytic cells have been the focus of our current efforts. As D/Pd loading appear to be critical, the measurement of deuterium loading using dilatometry as a function of current density, surface and heat treatment of the cathode and poisoning are currently being investigated.","Pd, surface analysis, metallurgy, heat+, ICCF-1",1551_GuruswamySmetallurgi.pdf,,,
"Guthrie, S. E.",1990,Helium Effects on Palladium Hydride Equilibrium Properties,,,,,,"PdT, 3He, phase diagram, PdH",,,,
"Gygax, F. N, Schenck, A.",1986,Local Hydrogen Arrangement Around the ?+ in a PdH0.74 Single Crystal,Hyperfine Interactions,31,,,,"PdH, muon, structure",,,,
"Hagans, P. L., Dominguez, D. D., Imam, M. A.",1996,Surface composition of Pd cathodes,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy",1,http://lenr-canr.org/acrobat/HagansPLsurfacecom.pdf,2018-09-07,"Results will be presented for the surface analyses of cathodes before and after electrolysis using X-ray Photoelectron Spectroscopy (XPS). Composition as a function of depth was obtained by employing argon ion sputtering to gradually erode away the surface. Although most of the emphasis will be on Naval Research Laboratory (NRL) Pd (i.e., Johnson Matthey high purity sponge processed into rod and plate at NRL), data will also be presented from other Pd sources and from reported excess heat-producing cathodes provided by SRI International and NAWC, Naval Air Warfare Center at China Lake, CA. XPS results will be compared with bulk sample cathode and anode analyses obtained by Glow Discharge Mass Spectroscopy (GDMS) and with electrolyte solution analyses obtained by Inductively Coupled Plasma (ICP) Spectroscopy.","Pd, surface analysis, electrolysis, ICCF-6, D2O",1554_HagansPLsurfacecom.pdf,,,
"Hage, H.",1990,Boundary conditions in electrochemical measurements of diffusion coefficients of hydrogen in a-palladium,Materials Transactions JIM,31,,,,"Pd, diffusion, H2",,,,
"Hagelstein, P. L.",1989,Coherent Fusion Theory,Winter Annual Meeting of Am. Soc. Mechan. Eng.,,,,,theory,,,,
"Hagelstein, P. L.",1989,Phonon Interactions in Coherent Fusion,,,,,,theory,,,,
"Hagelstein, P. L.",1989,Rates for Neutron and Tritium Production in Coherent D-D Fusion,,,,,,theory,,,,
"Hagelstein, P. L.",1989,A Simple Model for Coherent D-D Fusion in the Presence of a Lattice,,,,,,theory,,,,
"Hagelstein, P. L.",1990,Coherent Fusion Mechanisms,"Anomalous Nuclear Effects in Deuterium/Solid Systems, ""AIP Conference Proceedings 228""",1,,,,theory,,,,
"Hagelstein, P. L.",1990,Status of Coherent Fusion Theory,The First Annual Conference on Cold Fusion,1,http://lenr-canr.org/acrobat/NCFIthefirstan.pdf#page=118,2018-11-26,"Nuclear reactions which may exhibit coherent effects have been studied as a candidate explanation for cold fusion effects. An analysis of a general class of two-step coherent reactions involving charged nucleons has been performed, and very small reaction rates are found. This result is due to the small tunneling factors associated with coulomb repulsion.We are investigating two-step coherent reactions which begin through weak interaction mediated electron capture, which in hydrogen isotopes would produce off-shell (virtual) neutrons. No coulomb repulsion occurs for virtual neutrons. Virtual neutron capture by deuterons would yield tritium, and virtual neutron capture by protons would yield deuterons; the latter process is favored by a factor of 104 in the square of the matrix element on a per nucleon basis, and corresponds to a heat-producing reaction. The nuclear reaction energy would be coupled into the electrolysis process, with the final reaction products stationary.We have found that the weak interaction process can in principle be superradiant in the Dicke sense. If so, then considerable acceleration of this type of coherent reaction may occur.","theory, ICCF-1, coherent",1561_NCFIthefirstan.pdf,,118.0,137.0
"Hagelstein, P. L.",1990,Coherent fusion theory,J. Fusion Energy,9,,,,Theory,,,,
"Hagelstein, P. L.",1991,Coherent and Semi-coherent Neutron Transfer Reactions,"Second Annual Conference on Cold Fusion, ""The Science of Cold Fusion""",1,http://lenr-canr.org/acrobat/SIFthescience.pdf#page=220,2018-11-16,The novel process of coherent neutron transfer III the presence of a lattice is proposed to be the basis of a number of anomalous phenomena which have recently been reported in i nvestigations of the Pons-Fleischmann effect.,"theory, ICCF-2",1563_SIFthescience.pdf,,220.0,225.0
"Hagelstein, P. L.",1992,Coherent and Semi-Coherent Neutron Transfer Reactions,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""",1,http://lenr-canr.org/acrobat/IkegamiHthirdintera.pdf#page=44,2018-12-04,"Neutron transfer reactions are proposed to account for anomalies reported in Pons-Fleischmann experiments. The prototypical reaction involves the transfer of a neutron (mediated by low frequency electric or magnetic fields) from a donor nucleus to virtual continuum states, followed by the capture of the virtual neutron by an acceptor nucleus. In this work we summarize basic principles, recent results and the ultimate goals of the theoretical effort .","theory, ICCF-3",1564_IkegamiHthirdintera.pdf,,44.0,53.0
"Hagelstein, P. L.",1992,Coherent and semicoherent neutron transfer reactions I: The interaction Hamiltonian,Fusion Technol.,22,,,,Theory,,,,
"Hagelstein, P. L.",1993,"Summary of ICCF3 in Nagoya, Feb. 16, 1993",,,http://lenr-canr.org/acrobat/Hagelsteinsummaryofi.pdf,2002-08-07,"Abstract We review highlights of the international cold fusion conference that was held recently in Nagoya, Japan. Excess heat results in heavy water electrolysis experiments constitute the observations with the most important potential applications. Experiments in gas phase systems exhibit fast particle and gamma emission that make progress toward elucidating mechanisms. The evidence in support of a light water heat effect has improved.","Trip Report, ICCF3, history",1566_Hagelsteinsummaryofi.pdf,,,
"Hagelstein, P. L.",1993,Lattice-Induced Atomic and Nuclear Reactions,Fourth International Conference on Cold Fusion,1,,,,"theory, ICCF-4",,,,
"Hagelstein, P. L., Kaushik, S.",1993,Neutron Transfer Reactions,Fourth International Conference on Cold Fusion,1,,,,"theory, ICCF-4",,,,
"Hagelstein, P. L.",1993,Coherent and semicoherent neutron transfer reactions III: Phonon frequency shifts,Fusion Technol.,23,,,,Theory,,,,
"Hagelstein, P. L.",1995,Update on Neutron Transfer Reactions,5th International Conference on Cold Fusion,1,http://lenr-canr.org/acrobat/PonsSproceedinga.pdf#page=130,2018-11-20,We discuss progress in our studies of two new basic physical mechanisms that may be relevant to recent experiments that exhibit anomalies in metal hydrides and deuterides.Anomalous energy transfer from phonon modes to the constituents of a lattice may occur through frequency-shifting phonon modes that are highly excited. . . .,"theory, ICCF-5",1570_PonsSproceedinga.pdf,,130.0,141.0
"Hagelstein, P. L.",1996,Anomalous Energy Transfer between Nuclei and the Lattice,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy",1,http://lenr-canr.org/acrobat/NEDOthesixthin.pdf#page=397,2018-11-29,"We have continued our theoretical efforts to develop models that are relevant to the experimental claims of the observation of anomalies in metal hydrides. Of these anomalies, we have been particularly interested in heat generation both in heavy water and in light water systems, electrochemically induced radioactivity, tritium production and neutron emission. There have been a rather significant modification in our direction over the course of the past year, resulting in new models that appear to be more closely related to the experimental claims.","theory, lattice induced, ICCF-6",1571_NEDOthesixthin.pdf,,397.0,401.0
"Hagelstein, P. L.",1998,Anomalous Energy Transfer,The Seventh International Conference on Cold Fusion,1,http://lenr-canr.org/acrobat/ENECOtheseventh.pdf#page=140,2018-11-26,"If it were possible for a large energy quantum to somehow be communicated between a localized nuclear system and the surrounding environment, then it would follow that a quantitative theory could be developed that would account for many of the anomalies claimed in metal deuterides. If a large energy quantum cannot be transferred, then it is unlikely that any theory will be able to account for the claims.Our efforts have focused then on the problem of anomalous energy transfer. We have developed a new theoretical description that places delocalized lattice phonon degrees of freedom on the same footing as local residual position operators. With this formulation, we have found that a lattice vibrational mode cannot accept a large energy quantum, as the coupling is not sufficiently nonlinear. We propose a new set of second order reactions in which a local exothermic reaction couples off-resonance to a highly excited phonon mode at low order, and the phonon mode dissipates the large energy quantum through low order coupling to endothermic channels.","theory, energy transfer, ICCF-7",1572_ENECOtheseventh.pdf,,140.0,146.0
"Hagelstein, P. L.",2000,A Unified Model for Anomalies in Metal Deuterides,8th International Conference on Cold Fusion,1,,,,"theory, ICCF-8",,,,
"Hagelstein, P. L.",2002,A unified model for anomalies in metal deuterides,"The 9th International Conference on Cold Fusion, Condensed Matter Nuclear Science",1,http://lenr-canr.org/acrobat/Hagelsteinaunifiedmoa.pdf,2005-02-03,"Nuclear reactions in a lattice are described using an extension of the resonating group method to include the lattice explicitly.? Phonon exchange during fusion and dissociation reactions is predicted?? Second-order site-other-site reactions are predicted under conditions where the reactions at each site exchange phonons with a common phonon mode.? The null reaction in which a dd-fusion at one site is coupled to 4He dissociation at another site is modeled. Coupled-channel equations are developed for the two-site problem, as an illustration of the application of the lattice resonating group method. We have proposed previously that there should exist compact state solutions of the coupled-channel equations, as the associated exchange potential can be attractive.? Such states have been proposed to account for the Kasagi effect, and to provide a foundation for many of the anomalies that are seen in metal deuterides.? Our analysis of the two-site system suggests so far has not yielded compact state solutions.? Preliminary results for the many-site problem are presented, which leads to evidence in support of the stability of the compact states, and which leads to a new overall picture for the anomalies.","ICCF-9, theory, phonon",1574_Hagelsteinaunifiedmoa.pdf,,,
"Hagelstein, P. L.",2003,Unified Phonon-Coupled SU(N) Models For Anomalies In Metal Deuterides,Tenth International Conference on Cold Fusion,,http://lenr-canr.org/acrobat/Hagelsteinunifiedpho.pdf,2004-08-12,"We present a systematic, but abbreviated, account of issues and models for anomalies in metal deuterides. To interact, deuterons must get close to one another, and we consider conditions under which this occurs and the ramiﬁcations. Within the general picture under discussion, anomalies are ultimately a consequence of phonon exchange that occurs when nuclear reactions take place in the solid state. We review the generalization of the resonating group method for reactions in vacuum to include solid state effects, and discuss implications for experiment. Phonon exchange in the case of a much simpliﬁed scalar Gaussian nuclear model is reviewed. The coupling of reactions at different sites is explored, and connections are made with recent experiments on alpha emission. The fastest site-other-site reactions are null reactions in which fusion reactions and their inverses are coupled. A consideration of these processes leads to the conclusion that compact states should be present stabilized by phonon exchange, and that these may be responsible for anomalies in recent beam experiments with metal deuterides. Energy exchange between nuclei and the lattice can be very efficient, according to results from idealized models for null reactions involving many sites. Aspects of excess heat production and other effects appear to be addressed by the new models.",theory,1575_Hagelsteinunifiedpho.pdf,,,
"Hagelstein, P. L.",2003,Resonant Tunneling and Resonant Excitation Transfer,Tenth International Conference on Cold Fusion,,http://lenr-canr.org/acrobat/Hagelsteinresonanttu.pdf,2006-02-06,"Issues involved in the tunneling of deuterons in metal deuterides are considered in relation to experimental claims of anomalies in metal deuterides. From earlier studies, screening is thought to be similar to the case of molecular D2 . Resonant tunneling has been advocated in the literature as a possible mechanism to achieve tunneling enhancements. We develop a two-level system for a piecewise constant potential model for resonant tunneling that matches the energy levels in the vicinity of a level crossing, arguing that such models are applicable for more general potential models. Resonant tunneling effects and dynamics, including acceleration due to coherence, are accounted for in the model. The model is extended to include relaxation effects, and it is found that one would not expect to find coherent effects associated with tunneling in the case of two deuterons in a metal lattice. We present a simple model for the transfer of excitation from a collection of deuterons to a collection of helium nuclei, a model closely related to resonant tunneling and also to new phonon-coupled SU(N) models under development. The excitation transfer models show coherent enhancements as well as collective effects.",theory,1576_Hagelsteinresonanttu.pdf,,,
"Hagelstein, P. L.",2003,Thermal to Electric Energy Conversion,Tenth International Conference on Cold Fusion,,http://lenr-canr.org/acrobat/Hagelsteinthermaltoe.pdf,2006-02-06,"As research in the area of excess power production moves forward, issues associated with thermal to electric conversion become increasingly important. This paper provides a brief tutorial on basic issues, including the Carnot limit, entropy, and thermoelectric conversion. Practical thermal to electric conversion is possible well below the Carnot limit, and this leads to a high threshold for self-sustaining operation in Pons-Fleischmann type experiments. Excess power production at elevated temperatures will become increasingly important as we move toward self-sustaining devices and energy production for applications. Excess power production in heatproducing systems that do not require electrical input have an enormous advantage over electrochemical systems. Such systems should be considered seriously within our community in the coming years.","thermoelectric, Energy Conversion",1577_Hagelsteinthermaltoe.pdf,,,
"Hagelstein, P. L.",2003,Forward,Tenth International Conference on Cold Fusion,,http://lenr-canr.org/acrobat/Hagelsteinforward.pdf,2009-07-31,"The Tenth International Conference on Cold Fusion was held at the Royal Sonesta Hotel in Cambridge, about a mile from the Massachusetts Institute of Technology, August 24-29, 2003. More than 150 people registered for the conference. There were 113 abstracts submitted prior to the conference, and several talks were added during the conference. About 60 oral presentations were scheduled with 25 minutes allowed for most talks. All oral presentations were given in the main hall, and there were no parallel sessions. Abstracts were submitted for talks on excess heat and related topics, tritium, transmutation, nuclear emissions, theory, and a small number of other topics. . . .",review,1578_Hagelsteinforward.pdf,,,
"Hagelstein, P. L., McKubre, M. C. H., Nagel, D. J., Chubb, T. A., Hekman, R.",2004,New Physical Effects in Metal Deuterides,Eleventh International Conference on Condensed Matter Nuclear Science,,http://lenr-canr.org/acrobat/Hagelsteinnewphysica.pdf,2004-09-17,"The experimental evidence for anomalies in metal deuterides, including excess heat and nuclear emissions, suggests the existence of new physical effects.",Review,1579_Hagelsteinnewphysica.pdf,,,
"Hagelstein, P. L.",2005,Models for anomalies in condensed matter deuterides,The 12th International Conference on Condensed Matter Nuclear Science,,http://lenr-canr.org/acrobat/Hagelsteinmodelsfora.pdf,2006-02-06,"Models based on phonon exchange for excess heat production in Fleischmann-Pons experiments are considered. In the case that sufficient phonon exchange occurs to stabilize intermediate states containing a neutral, then a model in which excitation is transferred from the D2 /4He system to a strongly coupled quantum system made up of an oscillator (highly-excited phonon mode) and a Dicke system (ground state and excited state receiver nuclei) seem appropriate. We find that a coupled Dicke system and oscillator can support energy coupling in the case of strong coupling. We present evolution equations for resonant coupled Dicke systems, augmented with loss. An update is provided on phonon exchange in nuclear calculations.",theory,1580_Hagelsteinmodelsfora.pdf,,,
